,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,seoul,37.5683,126.9778,81.84,57,29,1.45,KR,1627135960
1,nyazepetrovsk,56.0531,59.6028,66.74,65,99,2.3,RU,1627136044
2,tsogni,-2.7942,10.0988,76.77,64,24,10.42,GA,1627136045
3,esmeraldas,-19.7625,-44.3139,68.86,41,0,8.46,BR,1627136045
4,taoudenni,22.6783,-3.9836,113.14,6,7,10.29,ML,1627136045
5,port elizabeth,-33.918,25.5701,63.1,38,0,11.1,ZA,1627136046
6,torbay,47.6666,-52.7314,67.28,75,71,5.99,CA,1627136046
7,chara,56.9064,118.2631,57.7,93,100,1.28,RU,1627136046
8,hermanus,-34.4187,19.2345,62.8,47,68,1.5,ZA,1627135551
9,kumluca,36.3703,30.2869,87.98,51,6,10.42,TR,1627136047
10,kemijarvi,66.7131,27.4306,61.21,52,92,10.02,FI,1627136047
11,victor harbor,-35.5667,138.6167,50.09,79,56,1.01,AU,1627136047
12,nazare da mata,-7.7417,-35.2278,77.92,43,10,15.05,BR,1627136048
13,mar del plata,-38.0023,-57.5575,54.0,66,43,11.01,AR,1627135808
14,yellowknife,62.456,-114.3525,48.56,70,95,1.01,CA,1627136048
15,kapaa,22.0752,-159.319,79.12,82,90,3.0,US,1627136048
16,kikwit,-5.041,18.8162,98.98,13,1,6.17,CD,1627136049
17,atuona,-9.8,-139.0333,77.68,68,99,15.14,PF,1627136049
18,siderno,38.2779,16.302,91.35,55,0,6.06,IT,1627136050
19,hithadhoo,-0.6,73.0833,82.72,77,77,13.22,MV,1627136050
20,butaritari,3.0707,172.7902,83.46,71,0,16.53,KI,1627136050
21,albany,42.6001,-73.9662,75.15,73,0,1.01,US,1627136050
22,esperance,-33.8667,121.9,53.22,71,19,17.38,AU,1627136051
23,hobart,-42.8794,147.3294,43.27,85,40,1.01,AU,1627136051
24,lagoa,39.05,-27.9833,70.74,95,11,13.96,PT,1627136051
25,mataura,-46.1927,168.8643,40.48,91,86,3.51,NZ,1627136052
26,igrim,63.1906,64.4162,65.89,61,97,8.86,RU,1627136052
27,rikitea,-23.1203,-134.9692,68.43,56,0,5.12,PF,1627136052
28,barrow,71.2906,-156.7887,37.42,93,90,4.61,US,1627135912
29,flagstaff,35.1981,-111.6513,63.46,95,90,5.99,US,1627136023
30,pevek,69.7008,170.3133,36.99,94,85,3.6,RU,1627136053
31,riyadh,24.6877,46.7219,109.54,9,4,17.25,SA,1627136053
32,gao,16.6362,1.637,83.7,47,100,5.99,ML,1627136054
33,tigil,57.8,158.6667,56.44,97,100,4.34,RU,1627136054
34,udachnyy,66.4167,112.4,60.44,56,46,2.64,RU,1627136054
35,port said,31.2565,32.2841,81.32,72,0,20.6,EG,1627136055
36,cooma,-36.2333,149.1333,40.14,83,99,18.79,AU,1627136055
37,san andres,12.5847,-81.7006,84.22,79,75,16.11,CO,1627136055
38,avarua,-21.2078,-159.775,66.25,94,53,3.44,CK,1627136056
39,khandyga,62.6667,135.6,59.31,99,100,6.69,RU,1627136056
40,castro,-24.7911,-50.0119,67.95,44,0,7.18,BR,1627136056
41,marawi,7.9986,124.2928,70.68,87,70,6.4,PH,1627136057
42,mahibadhoo,3.7833,72.9667,82.45,74,94,2.01,MV,1627136057
43,busselton,-33.65,115.3333,55.09,72,99,13.71,AU,1627136057
44,chaykovskiy,56.7686,54.1148,59.81,78,13,7.25,RU,1627136058
45,namatanai,-3.6667,152.4333,79.18,82,14,6.33,PG,1627136058
46,ribeira grande,38.5167,-28.7,79.2,65,40,17.27,PT,1627136058
47,okhotsk,59.3833,143.3,56.17,94,89,7.27,RU,1627136059
48,kodiak,57.79,-152.4072,50.74,99,100,7.92,US,1627136059
49,bluff,-46.6,168.3333,40.8,82,90,12.01,NZ,1627136059
50,clyde river,70.4692,-68.5914,38.16,72,100,6.15,CA,1627136060
51,sayat,38.7839,63.8803,106.34,6,0,16.73,TM,1627135928
52,tasiilaq,65.6145,-37.6368,42.96,97,100,2.68,GL,1627136060
53,punta arenas,-53.15,-70.9167,37.42,87,75,13.8,CL,1627135775
54,san patricio,28.017,-97.5169,85.89,73,0,12.84,US,1627136061
55,vaini,-21.2,-175.2,69.96,94,20,2.3,TO,1627136061
56,jamestown,42.097,-79.2353,74.3,66,1,5.01,US,1627136061
57,cidreira,-30.1811,-50.2056,68.36,53,0,1.61,BR,1627136062
58,talnakh,69.4865,88.3972,58.12,66,46,12.59,RU,1627136062
59,derzhavinsk,51.1,66.3167,88.99,30,100,8.12,KZ,1627136062
60,erzin,36.9559,36.2,93.72,53,0,12.17,TR,1627136062
61,dzilam gonzalez,21.2833,-88.9333,83.23,72,100,3.09,MX,1627136063
62,georgetown,5.4112,100.3354,86.9,66,20,0.0,MY,1627136063
63,ushuaia,-54.8,-68.3,35.26,87,40,11.5,AR,1627136063
64,longyearbyen,78.2186,15.6401,46.24,76,75,8.05,SJ,1627136064
65,severo-kurilsk,50.6789,156.125,53.62,96,84,3.06,RU,1627136064
